Time(s), Pwr_W1(W), Pwr_W2(W), Pwr_W3(W)
960.5, 0.0549, 0.0448, 0.0573
961.0, 0.0549, 0.0448, 0.0573
961.5, 0.0549, 0.0449, 0.0574
962.0, 0.0550, 0.0449, 0.0574
962.5, 0.0550, 0.0449, 0.0574
963.0, 0.0550, 0.0449, 0.0575
963.5, 0.0550, 0.0449, 0.0575
964.0, 0.0550, 0.0450, 0.0575
964.5, 0.0551, 0.0450, 0.0576
965.0, 0.0551, 0.0450, 0.0576
965.5, 0.0551, 0.0450, 0.0576
966.0, 0.0551, 0.0450, 0.0577
966.5, 0.0551, 0.0451, 0.0577
967.0, 0.0552, 0.0451, 0.0577
967.5, 0.0552, 0.0451, 0.0578
968.0, 0.0552, 0.0451, 0.0578
968.5, 0.0552, 0.0451, 0.0578
969.0, 0.0552, 0.0452, 0.0578
969.5, 0.0552, 0.0452, 0.0579
970.0, 0.0553, 0.0452, 0.0579
970.5, 0.0553, 0.0452, 0.0579
971.0, 0.0553, 0.0452, 0.0580
971.5, 0.0553, 0.0453, 0.0580
972.0, 0.0553, 0.0453, 0.0580
972.5, 0.0554, 0.0453, 0.0581
973.0, 0.0554, 0.0453, 0.0581
973.5, 0.0554, 0.0453, 0.0581
974.0, 0.0554, 0.0454, 0.0582
974.5, 0.0554, 0.0454, 0.0582
975.0, 0.0555, 0.0454, 0.0582
975.5, 0.0555, 0.0454, 0.0583
976.0, 0.0555, 0.0454, 0.0583
976.5, 0.0555, 0.0455, 0.0583
977.0, 0.0555, 0.0455, 0.0584
977.5, 0.0556, 0.0455, 0.0584
978.0, 0.0556, 0.0455, 0.0584
978.5, 0.0556, 0.0455, 0.0585
979.0, 0.0556, 0.0456, 0.0585
979.5, 0.0556, 0.0456, 0.0585
980.0, 0.0556, 0.0456, 0.0586
980.5, 0.0557, 0.0456, 0.0586
981.0, 0.0557, 0.0456, 0.0586
981.5, 0.0557, 0.0457, 0.0587
982.0, 0.0557, 0.0457, 0.0587
982.5, 0.0557, 0.0457, 0.0587
983.0, 0.0558, 0.0457, 0.0588
983.5, 0.0558, 0.0457, 0.0588
984.0, 0.0558, 0.0458, 0.0588
984.5, 0.0558, 0.0458, 0.0589
985.0, 0.0558, 0.0458, 0.0589
985.5, 0.0558, 0.0458, 0.0589
986.0, 0.0559, 0.0458, 0.0590
986.5, 0.0559, 0.0459, 0.0590
987.0, 0.0559, 0.0459, 0.0590
987.5, 0.0559, 0.0459, 0.0591
988.0, 0.0559, 0.0459, 0.0591
988.5, 0.0560, 0.0459, 0.0591
989.0, 0.0560, 0.0460, 0.0591
989.5, 0.0560, 0.0460, 0.0592
990.0, 0.0560, 0.0460, 0.0592
990.5, 0.0560, 0.0460, 0.0592
991.0, 0.0560, 0.0460, 0.0593
991.5, 0.0561, 0.0460, 0.0593
992.0, 0.0561, 0.0461, 0.0593
992.5, 0.0561, 0.0461, 0.0594
993.0, 0.0561, 0.0461, 0.0594
993.5, 0.0561, 0.0461, 0.0594
994.0, 0.0562, 0.0461, 0.0595
994.5, 0.0562, 0.0462, 0.0595
995.0, 0.0562, 0.0462, 0.0595
995.5, 0.0562, 0.0462, 0.0596
996.0, 0.0562, 0.0462, 0.0596
996.5, 0.0562, 0.0462, 0.0596
997.0, 0.0563, 0.0463, 0.0597
997.5, 0.0563, 0.0463, 0.0597
998.0, 0.0563, 0.0463, 0.0597
998.5, 0.0563, 0.0463, 0.0598
999.0, 0.0563, 0.0463, 0.0598
999.5, 0.0563, 0.0463, 0.0598
1000.0, 0.0564, 0.0464, 0.0599
Power Consumed (Wh)
Wheel 1, 0.0165
Wheel 2, 0.0115
Wheel 3, 0.0168
